subject,TrialID,n_fit_bins,n_all_bins,SSE_ctmc_fixed,SSE_oqs_fixed,SSE_hybrid_fixed,w_fixed,SSE_ctmc_data,SSE_oqs_data,SSE_hybrid_data,w_data
S01,9,11,15,0.0058609434502215,0.0059653998621235,0.0059653979453103,0.9568667414719806,0.0065713155003786,0.0067409001604485,0.0067443328730358,0.9621938681325514
S01,12,9,15,0.1465507040603907,0.1465507040603904,0.1465507040603905,1.0,0.1668051273696736,0.1668051273696728,0.1668051273696726,0.3440796430384399
S01,15,6,15,0.2009353756297465,0.2009353756304021,0.2009353756297537,0.3186686067580593,0.2154829451233166,0.2154829451233167,0.2154829451233159,0.363557591207359
S01,25,13,15,1.1357516223010196,1.1098952555169357,1.176056915814885,0.8850073442899096,0.5818883770452313,0.5950952134964557,0.5950952134962607,0.6300726599818616
S01,28,10,15,0.1562036068844036,0.1560844930268649,0.1562827316201238,0.9325795075629888,0.1376863507624198,0.1201231700324586,0.1201231700324573,0.0
S01,33,10,15,2.208588981620496,2.1499838963481057,2.2852243273035766,0.6319724348362269,2.3348173918085413,2.144644851242472,2.1999881791322893,0.6535210207596293
S02,9,14,15,0.5025873510635421,0.4900956710737135,0.505221956440512,1.0,0.0518894079822389,0.0503139703554846,0.0503139700679517,0.8963778325042303
S02,12,8,15,2.3408705170329336,2.8590246938646056,3.4225321853417965,1.0,1.3416985003078423,1.157329594472377,1.1727407799059617,0.0
S02,15,14,15,4.562820395238285,4.04465337150047,4.406437739554999,0.5989514706478148,4.165454738616263,3.380541886656223,3.380541886656198,0.3791268576557635
S02,22,8,15,1.835016628632527,2.107239554035348,2.2284180865233347,0.6707065336384415,0.9362108917302856,0.7423023260196719,0.7423023260198099,0.2672412164078412
S02,25,8,15,0.5383165883575798,0.520821417144534,0.5412199347726043,1.0,0.0862454872826678,0.0867012550246398,0.086701255008904,0.6235796123688738
S02,28,6,15,0.5280188194956891,0.5005433548746346,0.5312313176819361,1.0,0.0551457325301483,0.0381525448097062,0.0381525448097062,0.5600931124748992
S03,33,9,15,0.5837456802222567,0.5889912640615417,0.6037647165368264,1.0,0.2341114061523202,0.2287425331144793,0.2287425331144796,0.0
S04,12,8,15,2.346006608908952,2.543518997992839,3.046689628531004,1.0,1.950562734335041,1.1759463982448044,1.1759463982448055,0.3618004752667447
S04,15,11,15,0.3763698012519552,0.3775735233749388,0.377573523374942,0.7467936708917637,0.3738578350089069,0.373857835008912,0.3738578350089074,0.411023050225286
S04,25,12,15,0.1765889170483418,0.1831655879454744,0.2111449103268029,1.0,0.1138988122235032,0.1387668438690524,0.1387668438693572,0.7994886857113688
S04,33,12,15,1.3367547513494291,1.3774712063385806,1.3774712063385803,0.6906376778931994,1.3886166277683554,1.4220378713330606,1.4220378713330548,0.3465844560934258
S05,12,7,15,0.8257869628982859,0.8036623225981899,0.8473251984584135,1.0,0.3439479738915541,0.3570685267805918,0.3570685267807745,0.3527717557197877
S05,15,13,15,2.95612393030896,4.602393342361345,4.602393342370527,0.7194727103533315,1.9176229903427584,2.0332928082720736,2.0332928082720665,0.3837906295484805
S05,25,8,15,0.1863764425206149,0.1938960207364409,0.2056905046456353,1.0,0.1531533120717279,0.1531533120716285,0.1531533120716299,0.0622699412658896
S05,28,10,15,2.6757695513429143,2.8142758048843035,2.8142758048843017,0.3719454976055463,2.394868370543442,1.240545844898172,1.2405458448981723,0.0
S05,33,10,15,2.836711084785585,2.653743573794608,2.700134982148597,0.7056474086878682,2.7747366661521395,2.6649105081586524,2.7049757705727204,0.3565519641959573
S05,36,8,15,0.7312190962875325,0.8077867879411301,0.8077867875138384,1.0,0.7098957988748109,1.3471427223148242,1.3471913123331365,0.8357505256647464
S06,22,10,15,0.3414529169002293,0.3248566404576588,0.3701633072857601,1.0,0.3134299071459318,0.2841327089230369,0.284132708923227,0.726003616661007
S06,25,8,15,0.8819715509395101,1.0623632733216262,1.0623632733194242,0.8655453451798832,0.8010421421240742,1.440557952243543,1.4981826083050505,0.8034267982680217
S06,33,10,15,2.2913444640697955,3.387782664739621,3.397806008184304,0.6754086980844194,1.5007424740679622,0.6996810259355576,0.699681025935637,0.0268904695702725
S07,9,8,15,1.4288521004181778,1.8180430557918608,1.8180430557918676,0.6509674737563662,0.7765955980727434,0.7767437694743146,0.776743769478127,0.1859159049933344
S08,12,8,15,1.791436370734249,2.385059998153948,2.505711836409695,0.6894844578745677,0.5448572892568411,0.146738569679789,0.1467385696797891,0.0
S08,22,10,15,0.7481327003786123,0.7299923852323833,0.7599699034158699,1.0,0.2839087135473859,0.2933262714983148,0.2933262714940863,0.3934987655279029
S08,25,9,15,0.1982192789795174,0.2095760535750145,0.2095760535802759,0.7353481105981957,0.17699418027588,0.1501371008573107,0.1501371008573283,0.7901430720315268
S08,28,7,15,0.443439375797755,0.4478341713421839,0.4478341713422399,0.6883459322248556,0.4512521099027807,0.8933944730479293,0.9120622653218604,0.8819779703518698
